TYPE,COMMUNE,STREET_NAME,STREET_END,SPEED_KMH,ALERT_TYPE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Salvador Sanfuentes,,,ROAD_CLOSED
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,POLICE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Lo Prado,Waldo Taff,,,POLICE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,,,,POLICE
alert,Pudahuel,Av. General Óscar Bonilla,,,JAM
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Exposición,,,HAZARD
alert,Estación Central,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Unión Latinoamericana,,,JAM
alert,Santiago,Bascuñán Guerrero,,,JAM
alert,Pedro Aguirre Cerda,Bascuñán Guerrero,,,CHIT_CHAT
alert,Lo Prado,Territorio Antártico,,,POLICE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Pudahuel,Av. La Travesía,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Club Hípico,,,POLICE
alert,Lo Prado,Territorio Antártico,,,POLICE
alert,Estación Central,Av. 5 de Abril,,,POLICE
alert,Estación Central,,,,POLICE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Club Hípico,,,POLICE
alert,Santiago,Club Hípico,,,POLICE
alert,Lo Prado,Quebec,,,POLICE
jam,Conchalí,Av. Independencia,,0,
jam,Huechuraba,El Almendro Oriente,,6.76,
jam,Conchalí,Av. Independencia,,0,
jam,Recoleta,Hubert Benítez,Av. Principal Ignacio Carrera Pinto,6.04,
jam,Conchalí,Gascuña,Av. Cardenal José María Caro,7.19,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Av. Independencia,Elcira Espinoza,0,
jam,Recoleta,Dr. Sótero del Río,Huasco,4.77,
jam,Conchalí,Av. Independencia,Teniente Mery,0,
jam,Conchalí,Av. Independencia,Conchalí,6.98,
jam,Conchalí,Av. Independencia,Vuelta del Padre,0,
jam,Huechuraba,Av. Rinconada del Salto,Av. del Parque,13.43,
jam,Conchalí,Av. Independencia,El Olivo,0,
jam,Conchalí,Av. Independencia,Teniente Yávar,0,
jam,Conchalí,Av. Independencia,,0,
jam,Huechuraba,Marta Brunet,Av. Guillermo Subiabre,2.16,
alert,Conchalí,Av. Diego Silva Henríquez,,,HAZARD
alert,Conchalí,Av. Los Zapadores,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Huechuraba,Av. Pedro Fontova Norte,,,JAM
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Diagonal José María Caro,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Huechuraba,Av. Américo Vespucio,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Huechuraba,José Carrasco Tapia,,,HAZARD
alert,Conchalí,Av. Los Zapadores,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
jam,Santiago,Av. Cardenal José María Caro,Salida 17 > Mercado Central,23.27,
jam,Conchalí,Av. Independencia,Av. Dorsal,0,
jam,Independencia,Av. Independencia,Av. Santa María,4.86,
jam,Independencia,Nueva de Matte,Av. Independencia,3.66,
jam,Conchalí,Av. Independencia,Aviador Acevedo,0,
jam,Santiago,García Reyes,Martínez de Rozas,4.36,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Bartolomé Mandujano,Av. Independencia,0,
jam,Conchalí,Av. Independencia,Negrete,0,
jam,Conchalí,Av. Independencia,,0,
jam,Quinta Normal,Calle 4,Av. Carrascal,4.91,
jam,Conchalí,Av. Independencia,Teniente Yávar,0,
jam,Renca,Av. José Manuel Balmaceda,Manuel Rodríguez,17.34,
jam,Conchalí,Negrete,Av. Fermín Vivaceta,0,
jam,Conchalí,Av. Independencia,,0,
jam,Providencia,Av. Libertador Bernardo O'Higgins,Av. Vicuña Mackenna,0,
jam,Conchalí,Av. Independencia,Teniente Ponce,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Av. Independencia,,0,
jam,Santiago,Merced,Irene Morales,0,
jam,Conchalí,Av. Independencia,Bartolomé Mandujano,0,
jam,Santiago,Av. Libertador Bernardo O'Higgins,,0,
jam,Independencia,Amunátegui,Nueva Andrés Bello,4.91,
jam,Conchalí,Av. Independencia,Aviador Zañartu,0,
jam,Conchalí,Av. Independencia,Corbeta Esmeralda,0,
jam,Independencia,Av. Independencia,Olivos,7.99,
jam,Providencia,,Merced,0,
jam,Providencia,Merced,Pío Nono,0,
jam,Conchalí,Av. Independencia,Teniente Mery,0,
jam,Conchalí,Bartolomé Mandujano,Av. Independencia,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Av. Independencia,El Olivo,0,
jam,Conchalí,Av. Independencia,Teniente Bello,0,
jam,Conchalí,Av. Independencia,,0,
jam,Independencia,Las Cañas,Chillán,9.67,
